voter_name,canonical_id,sources,positions,voter_types
Charles Palliser,K:e7524b57d0d3,Top Ten Books,1,
Charles Palliser,K:fec9ed81ecd9,Top Ten Books,10,
Charles Palliser,OL:OL2005224W,Top Ten Books,2,
Charles Palliser,OL:OL240077W,Top Ten Books,3,
Charles Palliser,OL:OL2536262W,Top Ten Books,6,
Charlotte Higgins,OL:OL1095403W,Guardian Top 100,7,Journalist
Charlotte Higgins,OL:OL1190289W,Guardian Top 100,3,Journalist
Charlotte Higgins,OL:OL14868508W,Guardian Top 100,4,Journalist
Charlotte Higgins,OL:OL16313W,Guardian Top 100,8,Journalist
Charlotte Higgins,OL:OL190034W,Guardian Top 100,5,Journalist
Charlotte Higgins,OL:OL20867W,Guardian Top 100,1,Journalist
Charlotte Higgins,OL:OL276365W,Guardian Top 100,9,Journalist
Charlotte Higgins,OL:OL32013322W,Guardian Top 100,6,Journalist
Charlotte Higgins,OL:OL76524W,Guardian Top 100,10,Journalist
Charlotte Higgins,OL:OL86318W,Guardian Top 100,2,Journalist
Charlotte Mendelson,OL:OL103066W,Guardian Top 100,7,Author
Charlotte Mendelson,OL:OL1095403W,Guardian Top 100,6,Author
Charlotte Mendelson,OL:OL14868508W,Guardian Top 100,4,Author
Charlotte Mendelson,OL:OL20867W,Guardian Top 100,3,Author
Charlotte Mendelson,OL:OL228702W,Guardian Top 100,8,Author
Charlotte Mendelson,OL:OL267171W,Guardian Top 100,1,Author
Charlotte Mendelson,OL:OL3171069W,Guardian Top 100,10,Author
Charlotte Mendelson,OL:OL464517W,Guardian Top 100,5,Author
Charlotte Mendelson,OL:OL66562W,Guardian Top 100,9,Author
Charlotte Mendelson,OL:OL8662242W,Guardian Top 100,2,Author
Charlotte Northedge,OL:OL1052133W,Guardian Top 100,10,Journalist
Charlotte Northedge,OL:OL16520879W,Guardian Top 100,8,Journalist
Charlotte Northedge,OL:OL20867W,Guardian Top 100,1,Journalist
Charlotte Northedge,OL:OL34381078W,Guardian Top 100,4,Journalist
Charlotte Northedge,OL:OL39396W,Guardian Top 100,3,Journalist
Charlotte Northedge,OL:OL40756300W,Guardian Top 100,2,Journalist
Charlotte Northedge,OL:OL50548W,Guardian Top 100,5,Journalist
Charlotte Northedge,OL:OL5731542W,Guardian Top 100,9,Journalist
Charlotte Northedge,OL:OL59038W,Guardian Top 100,6,Journalist
Charlotte Northedge,OL:OL675783W,Guardian Top 100,7,Journalist
Chigozie Obioma,OL:OL107195W,Guardian Top 100,8,Author
Chigozie Obioma,OL:OL1209288W,Guardian Top 100,9,Author
Chigozie Obioma,OL:OL1845327W,Guardian Top 100,10,Author
Chigozie Obioma,OL:OL2384132W,Guardian Top 100,4,Author
Chigozie Obioma,OL:OL267171W,Guardian Top 100,6,Author
Chigozie Obioma,OL:OL2970107W,Guardian Top 100,7,Author
Chigozie Obioma,OL:OL39316W,Guardian Top 100,5,Author
Chigozie Obioma,OL:OL40879W,Guardian Top 100,1,Author
