row_index,voter_name,raw_title,raw_year,raw_director,canonical_id,resolved_year,flag_types
191,Ian Aitken,Battleship Potemkin,1925,Sergei M. Eisenstein,F:95bd800bd9e5,1925,
192,Ian Aitken,Tokyo Story,1953,Yasujirō Ozu,F:9f96298e4d23,1953,
193,Ian Aitken,M,1931,Fritz Lang,F:c0891d475a49,1931,
194,Ian Aitken,The Godfather,1972,Francis Ford Coppola,F:e2bff7956338,1972,
195,Ian Aitken,The Searchers,1956,John Ford,F:d117472f572e,1956,
196,Ian Aitken,Seven Samurai,1954,Akira Kurosawa,F:03774d8054b0,1954,
197,Ian Aitken,Rashomon,1950,Akira Kurosawa,F:bee09401fa7d,1950,
198,Ian Aitken,The Birds,1963,Alfred Hitchcock,F:242bcffbc89a,1963,
199,Daisuke Akasaka,Der TOD DES EMPEDOKLES,1987,"Jean-Marie Straub, Danièle Huillet",F:c5102a15cb40,1987,
200,Daisuke Akasaka,King Lear,1987,Jean-Luc Godard,F:0a781a482623,1987,
201,Daisuke Akasaka,Chichi Ariki,1942,Yasujirō Ozu,F:0fabeae822b4,1942,
202,Daisuke Akasaka,Koroshi No Rakuin,1967,Seijun Suzuki,F:53bf7c9b2295,1967,
203,Daisuke Akasaka,Nordkalotte,1991,Peter Nestler,F:fa67bac04dc2,1991,
204,Daisuke Akasaka,De son appartement,2007,Jean-Claude Rousseau,F:e160353f8b27,2007,
205,Daisuke Akasaka,Salomè,1972,Carmelo Bene,F:042e604b03c9,1972,
206,Daisuke Akasaka,The River,1951,Jean Renoir,F:6c6d0bc5ce49,1951,
207,Daisuke Akasaka,Journey to Italy,1954,Roberto Rossellini,F:2ec8e3a6b8aa,1954,
208,Daisuke Akasaka,The Wedding March,1928,Erich von Stroheim,F:25344d9e0b31,1928,
209,Mania Akbari,Yek Ettefaq-E Sadeh,1973,Sohrab Shahid Saless,F:2b5543b4c339,1973,
210,Mania Akbari,Tabiat-E Bijan,1974,Sohrab Shahid Saless,F:087f773c406b,1974,
211,Mania Akbari,Sans Soleil,1982,Chris Marker,F:8fc32725b37f,1982,
212,Mania Akbari,Cléo from 5 to 7,1962,Agnès Varda,F:cb689f3e2a97,1962,
213,Mania Akbari,No Home Movie,2015,Chantal Akerman,F:0d1fd8db8fb0,2015,
214,Mania Akbari,"4 Luni, 3 Saptamini Si 2 Zile",2007,Cristian Mungiu,F:221a46a574d6,2007,
215,Mania Akbari,What Do Men Want?,1921,Lois Weber,F:654010b7ed96,1921,
216,Mania Akbari,Sieranevada,2016,Cristi Puiu,F:76cf726e11ce,2016,
217,Mania Akbari,The Woman of Mystery,1914,Alice Guy,F:4f02ee963f27,1914,
218,Mania Akbari,Disque 957,1929,Germaine Dulac,F:cb84c6ad2cd5,1929,
219,Desiree Akhavan,A Separation,2011,Asghar Farhadi,F:e24ef98e5c4b,2011,
220,Desiree Akhavan,The Lobster,2015,Yorgos Lanthimos,F:9dcda2fe3a7e,2015,
221,Desiree Akhavan,Black Girl,1965,Ousmane Sembène,F:1961bdb691aa,1965,
222,Desiree Akhavan,À Ma Soeur!,2001,Catherine Breillat,F:1838ee94a228,2001,
223,Desiree Akhavan,Adaptation.,2002,Spike Jonze,F:27bb3657eaff,2002,
224,Desiree Akhavan,Fear Eats the Soul,1974,Rainer Werner Fassbinder,F:10e86670da04,1974,
225,Desiree Akhavan,When Harry Met Sally...,1989,Rob Reiner,F:74c5f4d1395f,1989,
226,Desiree Akhavan,Morvern Callar,2001,Lynne Ramsay,F:65393b2ac77a,2001,
227,Desiree Akhavan,Persepolis,2007,"Vincent Paronnaud, Marjane Satrapi",F:e4227f57ad92,2007,
228,Desiree Akhavan,Roozi keh zan shodam,2000,Marzieh Meshkini,F:d805611540e6,2000,
229,Isra Al Kassi,Just Another Girl on the I.R.T.,1992,Leslie Harris,F:c1e955770d31,1992,
230,Isra Al Kassi,The Matrix,1999,The Wachowskis,F:57a1bf06a3b8,1999,
231,Isra Al Kassi,The Wild Party,1929,Dorothy Arzner,F:bd7bfe5f9667,1929,
232,Isra Al Kassi,Fight Club,1999,David Fincher,F:f8ab762e9652,1999,
233,Isra Al Kassi,Rope,1948,Alfred Hitchcock,F:c520dfb264f7,1948,
234,Isra Al Kassi,Seven Samurai,1954,Akira Kurosawa,F:03774d8054b0,1954,
235,Isra Al Kassi,Gegen Die Wand,2003,Fatih Akin,F:4c5dc849b88b,2003,
236,Isra Al Kassi,Memento,2000,Christopher Nolan,F:04242e34e9b2,2000,
237,Isra Al Kassi,William Shakespeare's Romeo + Juliet,1996,Baz Luhrmann,F:ffdb9349f92c,1996,
238,Isra Al Kassi,Badkonak-E Sefid,1995,Jafar Panahi,F:ff575e494ec5,1995,
239,Antoneta Alamat Kusijanović,Beau travail,1998,Claire Denis,F:325075869126,1998,
240,Antoneta Alamat Kusijanović,Fish Tank,2009,Andrea Arnold,F:fb1858f30417,2009,
241,Antoneta Alamat Kusijanović,Teströl és lélekröl,2017,Ildikó Enyedi,F:a9268c8f563c,2017,
242,Antoneta Alamat Kusijanović,The Piano,1992,Jane Campion,F:03b3065dc545,1992,
243,Antoneta Alamat Kusijanović,Blade Runner,1982,Ridley Scott,F:4434c6705bd6,1982,
244,Antoneta Alamat Kusijanović,A Woman under the Influence,1974,John Cassavetes,F:c78c6b97f980,1974,
245,Antoneta Alamat Kusijanović,Waltz With Bashir,2008,Ari Folman,F:de151d330568,2008,
246,Antoneta Alamat Kusijanović,Melancholia,2011,Lars von Trier,F:9daa251a7795,2011,
247,Antoneta Alamat Kusijanović,In the Mood for Love,2000,Wong Kar Wai,F:08966bbb6c53,2000,
248,Antoneta Alamat Kusijanović,Loveless,2017,Andrey Zvyagintsev,F:1174da45c280,2017,
249,Antti Alanen,Barque sortant du port / Boat Leaving the Port,1897,Louis Lumière,F:6b99fd08dcc8,1897,
250,Antti Alanen,Man with a Movie Camera,1929,Dziga Vertov,F:69f5bed6f836,1929,
251,Antti Alanen,City Lights,1931,Charles Chaplin,F:7dacc043e524,1931,
252,Antti Alanen,Letter from an Unknown Woman,1948,Max Ophuls,F:122fb2de00e8,1948,
253,Antti Alanen,Kahdeksan Surmanluotia,1972,Mikko Niskanen,F:aeb0786beba4,1972,
254,Antti Alanen,Sambizanga,1972,Sarah Maldoror,F:d8be33a7aa37,1972,
255,Antti Alanen,Yek Ettefaq-E Sadeh,1973,Sohrab Shahid Saless,F:2b5543b4c339,1973,
256,Antti Alanen,Grave of the Fireflies,1988,Isao Takahata,F:9113deb430d0,1988,
257,Antti Alanen,Dekalog (Decalogue),1987-1989,Krzysztof Kieslowski,F:99525f6dd03f,1989,
258,Antti Alanen,Nomadland,2020,Chloé Zhao,F:59e546399154,2020,
259,Sy Alassane,Touki Bouki,1973,Djibril Diop Mambéty,F:c22c42cd69b9,1973,
260,Sy Alassane,Ceddo,1976,Ousmane Sembène,F:9b0ae697053e,1976,
