canonical_id,canonical_title,canonical_author,canonical_year,n_rows,n_voters,source_olids,derived_from
K:bbf3fa01dd65,Leaves of Grass,Walt Whitman,,4,4,,title_author_exact
K:77a9e9d519f7,The Oresteia,Aeschylus,,4,4,,title_author_exact
OL:OL119436W,The Amazing Adventures of Kavalier and Clay,Michael Chabon,2000,4,4,OL119436W,olid_anchor
OL:OL20769W,The Beginning of Spring,Penelope Fitzgerald,1988,4,4,OL20769W,olid_anchor
OL:OL893802W,Sentimental Education,Gustave Flaubert,1869,4,4,OL893802W,olid_anchor
OL:OL16847W,Money,Martin Amis,1984,4,4,OL16847W,olid_anchor
OL:OL66562W,Sense and Sensibility,Jane Austen,1811,4,4,OL66562W,olid_anchor
K:d4f54d0b665c,Labyrinths,Jorge Luis Borges,1964,4,4,,title_author_exact
OL:OL276470W,The Ambassadors,Henry James,1903,4,4,OL276470W,olid_anchor
K:936c038de83f,The Things They Carried,Tim O'Brien,1990,4,4,,title_author_exact
OL:OL724067W,The Death of the Heart,Elizabeth Bowen,1938,4,4,OL724067W,olid_anchor
OL:OL1921185W,Underworld,Don DeLillo,1997,5,4,OL1921185W,olid_anchor
OL:OL2636675W,Gravity's Rainbow,Thomas Pynchon,1973,4,4,OL2636675W,olid_anchor
OL:OL1865528W,The Bell Jar,Sylvia Plath,1963,4,4,OL1865528W,olid_anchor
OL:OL5721394W,Brideshead Revisited,Evelyn Waugh,1945,4,4,OL5721394W,olid_anchor
OL:OL39329W,Jacob's Room,Virginia Woolf,1922,4,4,OL39329W,olid_anchor
OL:OL17661158W,Nervous Conditions,Tsitsi Dangarembga,1988,4,4,OL17661158W,olid_anchor
OL:OL59800W,The Left Hand of Darkness,Ursula K Le Guin,1969,4,4,OL59800W,olid_anchor
OL:OL106073W,The End of the Affair,Graham Greene,1951,4,4,OL106073W,olid_anchor
OL:OL35616W,Kindred,Octavia E Butler,1979,4,4,OL35616W;OL37620555W,olid_anchor
OL:OL19690272W,Rebecca,Daphne du Maurier,1938,4,4,OL19690272W;OL36633W,olid_anchor
OL:OL85892W,Dracula,Bram Stoker,1897,4,4,OL85892W,olid_anchor
OL:OL1330246W,The Man Without Qualities,Robert Musil,,4,4,OL1330246W;OL20498876W,olid_anchor
OL:OL55239W,Ragtime,EL Doctorow,1975,4,4,OL55239W,olid_anchor
OL:OL17334243W,The Vegetarian,Han Kang,2007,4,4,OL17334243W,olid_anchor
OL:OL11081469W,The Heart Is a Lonely Hunter,Carson McCullers,1940,3,3,OL11081469W,olid_anchor
K:6c48d4f8f588,Romeo and Juliet,William Shakespeare,1595,3,3,,title_author_exact
K:1369db891f94,Mrs. Bridge,Evan S. Connell,1959,3,3,,title_author_exact
K:ca7944d7d49e,Mr. Bridge,Evan S. Connell,1969,3,3,,title_author_exact
K:81ff245a8bfa,Death Comes for the Archbishop,Willa Cather,1927,3,3,,title_author_exact
OL:OL697429W,Nights at the Circus,Angela Carter,1984,3,3,OL697429W,olid_anchor
OL:OL43161739W,The Count of Monte Cristo,Alexandre Dumas,1844,3,3,OL43161739W,olid_anchor
K:ef6aa2e15e06,The Tempest,William Shakespeare,1610,3,3,,title_author_exact
K:969b47058d9c,Ficciones,Jorge Luis Borges,1944,3,3,,title_author_exact
OL:OL505583W,Nightwood,Djuna Barnes,1936,3,3,OL505583W,olid_anchor
K:338581d02713,The Wind-Up Bird Chronicle,Haruki Murakami,1994,3,3,,title_author_exact
OL:OL5721561W,Vile Bodies,Evelyn Waugh,1930,3,3,OL5721561W,olid_anchor
K:93dc6897f134,Ship of Fools,Katherine Anne Porter,1962,3,3,,title_author_exact
OL:OL103095W,The Enigma of Arrival,V. S. Naipaul,1988,3,3,OL103095W,olid_anchor
OL:OL134601W,Lonesome Dove,Larry McMurtry,1985,3,3,OL134601W,olid_anchor
OL:OL166973W,The Idiot,Fyodor Dostoevsky,1868,3,3,OL166973W,olid_anchor
OL:OL38282W,The Moviegoer,Walker Percy,1961,3,3,OL38282W,olid_anchor
OL:OL7972956W,Ceremony,Leslie Marmon Silko,1977,3,3,OL7972956W,olid_anchor
OL:OL50567W,Sula,Toni Morrison,1973,3,3,OL50567W,olid_anchor
OL:OL5860211W,Small Island,Andrea Levy,2004,3,3,OL5860211W,olid_anchor
OL:OL26424W,A Far Cry From Kensington,Muriel Spark,1988,3,3,OL26424W,olid_anchor
K:aa9d8baf7d95,The Heart of the Matter,Graham Greene,1948,3,3,,title_author_exact
OL:OL480955W,Quartet in Autumn,Barbara Pym,1977,3,3,OL480955W,olid_anchor
OL:OL1063588W,Les Misérables,Victor Hugo,1862,3,3,OL1063588W,olid_anchor
OL:OL1992198W,In Cold Blood,Truman Capote,1966,3,3,OL1992198W,olid_anchor
K:bd646529eae4,The Possessed,Fyodor Dostoevsky,1872,3,3,,title_author_exact
OL:OL1230715W,The Plague,Albert Camus,1947,3,3,OL1230715W,olid_anchor
OL:OL81618W,The Stand,Stephen King,1978,3,3,OL81618W,olid_anchor
K:9b6c22f83dd1,1984,George Orwell,1948,3,3,,title_author_exact
K:f547ea8e2ecf,The Fountain Overflows,Rebecca West,1956,3,3,,title_author_exact
K:98c8438f910d,The Arabian Nights: Tales from a Thousand and One Nights,,,1,3,,title_author_exact
OL:OL17644895W,Cousin Bette,Honoré de Balzac,1847,3,3,OL17644895W,olid_anchor
K:017afa232b50,The Hamlet,William Faulkner,1940,3,3,,title_author_exact
K:969799e0bdc1,The Charterhouse of Parma,Stendhal,1839,3,3,,title_author_exact
K:9582f8788134,Waiting for Godot,Samuel Beckett,1953,3,3,,title_author_exact
OL:OL65906W,On the Road,Jack Kerouac,1957,3,3,OL65906W,olid_anchor
