canonical_id,canonical_title,canonical_director,resolved_year,n_rows,vote_count
F:d2506ebeb73e,Heat,Michael Mann,1995,21,21
F:46194e616618,Trouble in Paradise,Ernst Lubitsch,1932,21,21
F:af9e3551238b,Paris Is Burning,Jennie Livingston,1990,21,21
F:c4fda376339f,All about My Mother,Pedro Almodóvar,1999,21,21
F:6e92bae17de8,The Conversation,Francis Ford Coppola,1974,21,21
F:95cb5acf1ea2,The Watermelon Woman,Cheryl Dunye,1997,21,21
F:fbaed03c3121,All That Heaven Allows,Douglas Sirk,1955,21,21
F:73ac13372020,A Clockwork Orange,Stanley Kubrick,1971,20,20
F:e4c949fb454a,Mad Max: Fury Road,George Miller,2015,20,20
F:b81ddc038404,Meghe Dhaka Tara,Ritwik Ghatak,1960,20,20
F:6c6d0bc5ce49,The River,Jean Renoir,1951,20,20
F:d4937a407577,Once upon a Time in America,Sergio Leone,1983,20,20
F:7c54b4356371,Annie Hall,Woody Allen,1977,20,20
F:8c93104a11a8,Wavelength,Michael Snow,1967,20,20
F:0ea0e00d9fdc,Pyaasa,Guru Dutt,1957,20,20
F:d1d43bf4deff,All about Eve,Joseph L. Mankiewicz,1950,20,20
F:d39d1b73d6fa,An Autumn Afternoon,Yasujirō Ozu,1962,20,20
F:79c30aef6e24,Out of the Past,Jacques Tourneur,1947,20,20
F:f3a8723d695d,"Salò, or the 120 Days of Sodom",Pier Paolo Pasolini,1975,19,19
F:0c208843518d,Cries and Whispers,Ingmar Bergman,1972,19,19
F:6df960d01ebc,Under the Skin,Jonathan Glazer,2013,19,19
F:e24ef98e5c4b,A Separation,Asghar Farhadi,2011,19,19
F:9daa251a7795,Melancholia,Lars von Trier,2011,19,19
F:f9b6370c1fc2,Memories of Underdevelopment,Tomás Gutiérrez Alea,1968,19,19
F:4bbf32d00fd9,Viridiana,Luis Buñuel,1961,19,19
F:930e2118f326,Symbiopsychotaxiplasm: Take One,William Greaves,1967,19,19
F:58f9e7707a27,West of the Tracks,Wang Bing,2002,19,19
F:11fff6d5f45a,Hidden,Michael Haneke,2004,19,19
F:9609d2e67c50,Werckmeister Harmonies,Béla Tarr,2000,19,19
F:8ce8232221d4,Black Narcissus,"Michael Powell, Emeric Pressburger",1947,19,19
F:9503b95b7798,The Magnificent Ambersons,Orson Welles,1942,19,19
F:240c3c3338a1,The Deer Hunter,Michael Cimino,1978,19,19
F:413d2bed80fb,Orlando,Sally Potter,1992,19,19
F:ef557d6c32c4,The Green Ray,Eric Rohmer,1986,19,19
F:1a68aefe7ea1,Charulata,Satyajit Ray,1964,19,19
F:c9a62b53f643,Happy Together,Wong Kar Wai,1997,18,18
F:65393b2ac77a,Morvern Callar,Lynne Ramsay,2001,18,18
F:9113deb430d0,Grave of the Fireflies,Isao Takahata,1988,18,18
F:ff478deae1ed,Out 1,Jacques Rivette,1990,18,18
F:a6b2d4ef6e92,Nosferatu,F.W. Murnau,1922,18,18
F:7c9c923f35c0,The Act of Killing,Joshua Oppenheimer,2012,18,18
F:44d249fc6091,Mouchette,Robert Bresson,1966,18,18
F:98aa847a19fe,Greed,Erich von Stroheim,1923,18,18
F:ed7d59c56f5d,Napoléon,Abel Gance,1927,18,18
F:8082e9c53944,"Je, tu, il, elle",Chantal Akerman,1974,18,18
F:1a5ed79e90c4,Brief Encounter,David Lean,1945,18,18
F:20afe757a6d1,Double Indemnity,Billy Wilder,1944,18,18
F:db803e57874f,Blowup,Michelangelo Antonioni,1966,18,18
F:bcf63870b80d,Zama,Lucrecia Martel,2017,18,18
F:165ea115d0f7,Raiders of the Lost Ark,Steven Spielberg,1981,18,18
F:7fa585215d06,In a Lonely Place,Nicholas Ray,1950,17,17
F:242bcffbc89a,The Birds,Alfred Hitchcock,1963,17,17
F:122fb2de00e8,Letter from an Unknown Woman,Max Ophuls,1948,17,17
F:5c226aa5de90,Europa '51,Roberto Rossellini,1952,17,17
F:4418a62420bf,The Life and Death of Colonel Blimp,"Michael Powell, Emeric Pressburger",1943,17,17
F:646ea2ac9f18,One Way or Another,Sara Gómez,1977,17,17
F:1e8c36f50cef,Paisan,Roberto Rossellini,1946,17,17
F:ef039f7a68b5,Army of Shadows,Jean-Pierre Melville,1969,17,17
F:af358d7d1d59,Duck Soup,Leo McCarey,1933,17,17
F:9a64753216c8,Blue,Derek Jarman,1993,17,17
F:3dc11a61f1ca,All That Jazz,Bob Fosse,1979,16,16
F:6ffcf833b768,Syndromes and a Century,Apichatpong Weerasethakul,2006,16,16
F:fdffe3f0bfb8,Les Demoiselles de Rochefort,Jacques Demy,1967,16,16
F:3607e9f1675c,Soleil Ô,Med Hondo,1970,16,16
F:37bbd65ea51f,Possession,Andrzej Zulawski,1981,16,16
F:24dc6c8040d9,I Know Where I'm Going!,"Michael Powell, Emeric Pressburger",1945,16,16
F:69ee1e9bf06a,Wings of Desire,Wim Wenders,1987,16,16
F:0e061101bdea,Roma città aperta,Roberto Rossellini,1945,16,16
F:f88f86b2bb29,F for Fake,Orson Welles,1973,16,16
F:9000c8f0eb34,Twin Peaks: Fire Walk With Me,David Lynch,1992,16,16
F:05d1730cfab5,Nostalgia for the Light,Patricio Guzmán,2010,16,16
F:4953ffd81613,Das weisse Band Eine deutsche Kindergeschichte,Michael Haneke,2009,16,16
F:d63f22c37e98,Two-lane Blacktop,Monte Hellman,1971,15,15
F:8db25a4797e8,The Quince Tree Sun,Víctor Erice,1992,15,15
F:6158c3acae8a,Twenty Years Later,Eduardo Coutinho,1984,15,15
F:727b4a394724,Eyes Wide Shut,Stanley Kubrick,1999,15,15
F:d82151d9c18c,Le notti di Cabiria,Federico Fellini,1957,15,15
F:e0fa4f112d72,Letyat Zhuravli,Mikhail Kalatozov,1957,15,15
F:b09fb8ce622b,Solaris,Andrei Tarkovsky,1972,15,15
F:be922adcc35a,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,15,15
F:e067866bf78e,Badlands,Terrence Malick,1973,15,15
F:c7384eeb7b0e,Phantom Thread,Paul Thomas Anderson,2017,15,15
F:2018d336cc28,An Angel at My Table,Jane Campion,1990,15,15
F:51644bbb0d9c,Kes,Ken Loach,1969,15,15
F:a50461292bc4,Professione: reporter,Michelangelo Antonioni,1974,15,15
F:9539729dc80f,I Am Cuba,Mikhail Kalatozov,1964,15,15
F:096362e962d8,Intolerance,D.W. Griffith,1916,15,15
F:2861a518888c,Sullivan's Travels,Preston Sturges,1941,15,15
F:e037a0ce1088,Petite maman,Céline Sciamma,2021,15,15
F:e70c7eaa7408,E.T.  The Extra-terrestrial,Steven Spielberg,1982,15,15
F:1174009b97fe,Princess Mononoke,Hayao Miyazaki,1997,15,15
F:19eb92f7e110,Limite,Mário Peixoto,1931,14,14
F:d62c40a3d88f,Breaking the Waves,Lars von Trier,1996,14,14
F:eb6115735be9,Zéro De Conduite,Jean Vigo,1933,14,14
F:9d5f6e82448b,Suspiria,Dario Argento,1977,14,14
F:a454d3354c22,Saikaku Ichidai Onna,Kenji Mizoguchi,1952,14,14
F:ec983a6c1ee5,In Vanda's Room,Pedro Costa,2000,14,14
F:40851c97fe02,Rocco E I Suoi Fratelli,Luchino Visconti,1960,14,14
F:4910ffd369f1,Meet Me in St. Louis,Vincente Minnelli,1944,14,14
F:7a4937c915f3,Videodrome,David Cronenberg,1983,14,14
F:f85c54efe544,Crash,David Cronenberg,1996,14,14
F:c4e34698c643,Losing Ground,Kathleen Collins,1982,14,14
F:337423442fc4,Pink Flamingos,John Waters,1972,14,14
F:3ec40e40a443,By the Bluest of Seas,Boris Barnet,1935,14,14
F:9fa2ffff0e05,Le Samouraï,Jean-Pierre Melville,1967,14,14
F:17be19f021ea,My Darling Clementine,John Ford,1946,14,14
F:341aefe6f409,Spring in a Small Town,Fei Mu,1948,14,14
F:e3e045b158eb,The Hour of the Furnaces,Fernando Solanas,1968,14,14
F:f00e3c45dd9d,Twin Peaks: The Return,David Lynch,2017,14,14
F:f0003668a2c4,"Distant Voices, Still Lives",Terence Davies,1988,14,14
F:432bbc185cbb,"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",Jonas Mekas,2000,14,14
F:9dc99962ce43,Rosemary's Baby,Roman Polanski,1968,14,14
F:89bca25c2226,Harlan County USA,Barbara Kopple,1976,14,14
F:c3f4f3d3dda9,Three Colours Blue,Krzysztof Kieslowski,1993,14,14
F:ae24209c7310,Star Wars,George Lucas,1977,14,14
F:f58915ed95d4,The City of God,Fernando Meirelles,2002,13,13
F:f96da45e774e,Bir zamanlar Anadolu'da,Nuri Bilge Ceylan,2011,13,13
F:83d479d3ae29,Earth,Alexander Dovzhenko,1930,13,13
F:269e50561c64,The Crowd,King Vidor,1928,13,13
F:7be38868e0ce,L' albero degli zoccoli,Ermanno Olmi,1978,13,13
F:b5b8d610e881,Born in Flames,Lizzie Borden,1983,13,13
F:3af703bb3bf8,The Last Laugh,F.W. Murnau,1924,13,13
F:aa9ca1df5398,Performance,"Donald Cammell, Nicolas Roeg",1970,13,13
F:d210c0d5f689,Le Charme discret de la bourgeoisie,Luis Buñuel,1972,13,13
F:e5c08e9f1271,Ratcatcher,Lynne Ramsay,1999,13,13
F:da3f1a9a55b3,Bara No Soretsu,Toshio Matsumoto,1970,13,13
F:9fa8a94443bd,Zangiku Monogatari,Kenji Mizoguchi,1939,13,13
F:68095e4e33e8,A Touch of Zen,King Hu,1969,13,13
F:b9af680af33b,Flowers of Shanghai,Hou Hsiao-Hsien,1998,13,13
F:dde6ffd9106a,Yeelen,Souleymane Cissé,1987,13,13
F:e737f5f02536,Tabu  A Story of the South Seas,F.W. Murnau,1931,13,13
F:5fbe75ae8e83,Pandora's Box,G.W. Pabst,1928,13,13
F:c80392c9829c,Portrait of Jason,Shirley Clarke,1967,13,13
F:bd9efaa29502,The Band Wagon,Vincente Minnelli,1953,12,12
F:a7fb4794b496,Blow Out,Brian De Palma,1981,12,12
F:41912772ddcd,Boyhood,Richard Linklater,2014,12,12
F:9f4bdfd01cfb,Terra Em Transe,Glauber Rocha,1967,12,12
F:4fd3c9a708f4,Jules et Jim,François Truffaut,1962,12,12
F:299aafd38526,The Thin Red Line,Terrence Malick,1998,12,12
F:9efcb3d93167,The Big Sleep,Howard Hawks,1946,12,12
F:3e088c64f4af,The Long Day Closes,Terence Davies,1992,12,12
F:269ff03a9765,Gentlemen Prefer Blondes,Howard Hawks,1953,12,12
F:c48b24faa9f1,Die BITTEREN TRÄNEN DER PETRA VON KANT,Rainer Werner Fassbinder,1972,12,12
F:3e7a3a8f8433,The Shop around the Corner,Ernst Lubitsch,1940,12,12
F:cd8b74b7b5a9,Artificial Intelligence  A.I.,Steven Spielberg,2001,12,12
F:a2a1ef5c6f47,Hyènes,Djibril Diop Mambéty,1992,12,12
F:ee5e85aa2619,"Germania, Anno Zero",Roberto Rossellini,1948,12,12
F:88f068b796c4,King Kong,"Ernest B. Schoedsack, Merian C. Cooper",1933,12,12
F:18634c22b226,Holy Motors,Léos Carax,2012,12,12
F:5b505c37b676,A Canterbury Tale,"Michael Powell, Emeric Pressburger",1944,12,12
F:f03f4c93d0f1,La DOUBLE VIE DE VÉRONIQUE,Krzysztof Kieslowski,1991,12,12
F:98ca671012c5,D'Est,Chantal Akerman,1993,12,12
F:e35d40a37ce8,Wandafuru Raifu,Hirokazu Koreeda,1998,12,12
F:a8d48e8e61f0,The Gold Rush,Charles Chaplin,1925,12,12
F:da997bca9f48,Some Came Running,Vincente Minnelli,1958,12,12
F:bee5654ca481,A New Leaf,Elaine May,1970,12,12
F:6fb030bf7755,Heaven's Gate,Michael Cimino,1980,12,12
F:9aa40df22c3e,The Intruder,Claire Denis,2004,12,12
F:a3d0b4e174aa,Fitzcarraldo,Werner Herzog,1981,12,12
F:ddcf681c3397,La grande bellezza,Paolo Sorrentino,2013,12,12
F:85945816f94f,Lost in Translation,Sofia Coppola,2003,11,11
F:146f1c3fc9b2,Lost Highway,David Lynch,1996,11,11
F:5f9daceb0454,Yojimbo,Akira Kurosawa,1961,11,11
F:894a2bacef7f,An Affair to Remember,Leo McCarey,1957,11,11
F:2a9843e83d75,Cabaret,Bob Fosse,1972,11,11
F:860988085746,Close Encounters of the Third Kind,Steven Spielberg,1977,11,11
F:ee2a2cfc2fc7,Jurassic Park,Steven Spielberg,1992,11,11
F:31ccba01f02e,Deus E O Diabo Na Terra Do Sol,Glauber Rocha,1964,11,11
F:f6ff4c164fbd,Schindler's List,Steven Spielberg,1993,11,11
F:c6014c74c7ea,Sarineui Chueok,Bong Joon-ho,2003,11,11
F:f4e217197597,El Mumia,Shadi Abdelsalam,1970,11,11
F:5da49dcce857,Wake in Fright,Ted Kotcheff,1971,11,11
F:17628f83ead5,The Best Years of Our Lives,William Wyler,1946,11,11
F:e1c01276b733,Krylya,Larissa Shepitko,1966,11,11
F:3aac5db12b12,Koyaanisqatsi: Life out of Balance,Godfrey Reggio,1983,11,11
F:e0a07c197db1,Pan's Labyrinth,Guillermo del Toro,2006,11,11
F:5e5b16dbc375,The Master,Paul Thomas Anderson,2012,11,11
F:8ef14bf34952,Throne of Blood,Akira Kurosawa,1957,11,11
F:2c00d05903b6,The Big Lebowski,Joel Coen,1998,11,11
F:4bbcec7d0753,In einem Jahr mit 13 Monden,Rainer Werner Fassbinder,1978,11,11
F:8b59f9e5c592,All the President's Men,Alan J. Pakula,1976,11,11
F:d5d56cef191d,Lola Montès,Max Ophuls,1955,11,11
F:38b522b41810,Hsimeng Jensheng,Hou Hsiao-Hsien,1993,11,11
F:87260f5ae7bb,Qianxi Manbo,Hou Hsiao-Hsien,2001,11,11
F:ad61730d9d2f,McCabe & Mrs. Miller,Robert Altman,1971,11,11
F:3b027eac1618,Zir-E Darakhtan-E Zeyton,Abbas Kiarostami,1994,11,11
F:38516f3726c8,Umberto D.,Vittorio De Sica,1952,11,11
F:be5197f08d0d,Mon oncle,Jacques Tati,1958,11,11
F:667f9047c4d8,Die ABENTEUER DES PRINZEN ACHMED,Lotte Reiniger,1926,11,11
F:265ff24c9602,Toute Une Nuit,Chantal Akerman,1982,11,11
F:d3259e8689ca,Edvard Munch,Peter Watkins,1976,11,11
F:df99a097e950,Toni Erdmann,Maren Ade,2016,10,10
F:d2c81bee4c02,A Torinói Ió,Béla Tarr,2011,10,10
F:29be497f95ce,Atlantique,Mati Diop,2019,10,10
F:5e201ce6e4d7,Meek's Cutoff,Kelly Reichardt,2010,10,10
F:a7dc5420f605,Aruitemo Aruitemo,Hirokazu Koreeda,2008,10,10
F:853aa70a4537,La Région Centrale,Michael Snow,1971,10,10
F:f1f9458aedc5,Trouble Every Day,Claire Denis,2001,10,10
F:96db1ec94fd6,Casino,Martin Scorsese,1995,10,10
F:e3f9a5827411,Hable Con Ella,Pedro Almodóvar,2002,10,10
F:b21e5cdba7f0,Nattvardsgästerna,Ingmar Bergman,1962,10,10
