canonical_id,title,author,source_olids,raw_year,gap_reason,year
OL:OL2957601W,On the Edge of Reason,Miroslav Krleža,OL2957601W,,truly-blank,
OL:OL74650W,Operation Shylock,Philip Roth,OL74650W,,truly-blank,
OL:OL19753331W,Ordinary People,Diana Evans,OL19753331W,,truly-blank,
OL:OL17873642W,Outline,Rachel Cusk,OL17873642W,,truly-blank,
OL:OL19074847W,Overstory,Richard Powers,OL19074847W,,truly-blank,
OL:OL17762217W,Pachinko,Min Jin Lee,OL17762217W,,truly-blank,
OL:OL3942386W,Palm-Wine Drinkard,Amos Tutuola,OL3942386W,,truly-blank,
OL:OL35623W,Parable of the Sower,Octavia E. Butler,OL35623W,,truly-blank,
OL:OL3958403W,Paradise,Abdulrazak Gurnah,OL3958403W,,truly-blank,
OL:OL2645476W,Passing,Nella Larsen,OL2645476W,,truly-blank,
OL:OL8640095W,Pather Panchali,Bibhutibhushan Bandopadhyay,OL8640095W,,truly-blank,
OL:OL41016555W,Pickwick Papers,Charles Dickens,OL41016555W,,truly-blank,
OL:OL1980233W,Pig Earth,John Berger,OL1980233W,,truly-blank,
OL:OL20893680W,Piranesi,Susanna Clarke,OL20893680W,,truly-blank,
OL:OL64465W,Point Counter Point,Aldous Huxley,OL64465W,,truly-blank,
OL:OL21671152W,Poor,Caleb Femi,OL21671152W,,truly-blank,
OL:OL1815834W,Possessing the Secret of Joy,Alice Walker,OL1815834W,,truly-blank,
OL:OL115647W,Possession,A. S. Byatt,OL115647W,,truly-blank,
OL:OL37582070W,Praiseworthy,Alexis Wright,OL37582070W,,truly-blank,
OL:OL20032812W,Problems,Jade Sharma,OL20032812W,,truly-blank,
OL:OL28192620W,Promise at Dawn,Romain Gary,OL28192620W,,truly-blank,
OL:OL1259171W,Proxopera,Benedict Kiely,OL1259171W,,truly-blank,
OL:OL2645473W,Quicksand,Nella Larsen,OL2645473W,,truly-blank,
OL:OL1863387W,Reading Turgenev,William Trevor,OL1863387W,,truly-blank,
OL:OL9907660W,Record of a Night Too Brief,Kawakami Hiromi,OL9907660W,,truly-blank,
OL:OL20844W,Red Badge of Courage,Stephen Crane,OL20844W,,truly-blank,
OL:OL20877028W,Restoration,Rose Tremain,OL20877028W;OL477540W,,truly-blank,
OL:OL74293W,Riddley Walker,Russell Hoban,OL74293W,,truly-blank,
OL:OL24364471W,Rig Veda,Anonymous,OL24364471W,,truly-blank,
OL:OL30274067W,Roxana,Daniel Defoe,OL30274067W,,truly-blank,
OL:OL1822527W,Sag Harbor,Colson Whitehead,OL1822527W,,truly-blank,
OL:OL43775W,Samskara,U. R. Anantha Murthy,OL43775W,,truly-blank,
OL:OL43336312W,Samuel Beckett Trilogy Molloy; Malone Dies; the Unnamable,Samuel Beckett,OL43336312W,,truly-blank,
OL:OL3440705W,Savushun,Simin Daneshvar,OL3440705W,,truly-blank,
OL:OL25803691W,Scattered All Over the Earth,Yoko Tawada,OL25803691W,,truly-blank,
OL:OL2970107W,Season of Migration to the North,Tayeb Salih,OL2970107W,,truly-blank,
OL:OL15125374W,Seasons of Anomy,Wole Soyinka,OL15125374W,,truly-blank,
OL:OL5869550W,Senseless,Paul Golding,OL5869550W,,truly-blank,
OL:OL27871634W,Septology,Jon Fosse,OL27871634W,,truly-blank,
OL:OL12827W,Shadows on the Rock,Willa Cather,OL12827W,,truly-blank,
OL:OL27905681W,Siddhartha,Hermann Hesse,OL27905681W;OL872932W,,truly-blank,
OL:OL25098381W,Silas Marner,George Eliot,OL25098381W,,truly-blank,
OL:OL1884862W,Silent Spring,Rachel Carson,OL1884862W,,truly-blank,
OL:OL16938494W,Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,OL16938494W,,truly-blank,
OL:OL2191789W,Sister Outsider,Audre Lorde,OL2191789W,,truly-blank,
OL:OL21364937W,Slave Old Man,Patrick Chamoiseau,OL21364937W,,truly-blank,
OL:OL472250W,Sleeping Murder,Agatha Christie,OL472250W,,truly-blank,
OL:OL23020966W,Small Things Like These,Claire Keegan,OL23020966W,,truly-blank,
OL:OL15723133W,Smiley's People,John le Carré,OL15723133W,,truly-blank,
OL:OL1647068W,Soldiers of Salamis,Javier Cercas,OL1647068W,,truly-blank,
OL:OL15706660W,Something Happened,Joseph Heller,OL15706660W,,truly-blank,
OL:OL81295W,Sons and Lovers,D. H. Lawrence,OL81295W,,truly-blank,
OL:OL29907510W,Sorrows of Young Werther,Johann Wolfgang von Goethe,OL29907510W,,truly-blank,
OL:OL2009183W,Sport and a Pastime,James Salter,OL2009183W,,truly-blank,
OL:OL42396177W,Stag Dance,Torrey Peters,OL42396177W,,truly-blank,
OL:OL106079W,Stamboul Train,Graham Greene,OL106079W,,truly-blank,
OL:OL17202418W,Station Eleven,Emily St. John Mandel,OL17202418W,,truly-blank,
OL:OL25796415W,Still Life,A. S. Byatt,OL25796415W,,truly-blank,
K:910a38647a5c,Stories of Grace Paley,Grace Paley,,,truly-blank,
K:a54fc089b816,Stories of Mavis Gallant,Mavis Gallant,,,truly-blank,
