flag_id,flag_type,raw_titles,raw_years,raw_directors,row_count,notes
NY-13106,BLANK_YEAR,Hearts and Minds,,,1,No valid-year cluster exists for this title. Unresolved.
NY-13108,BLANK_YEAR,Borat,,,1,No valid-year cluster exists for this title. Unresolved.
NY-13315,BLANK_YEAR,Lago Gatún,,Kevin Jerome Everson,1,No valid-year cluster exists for this title. Unresolved.
PY-13654,YEAR_ERROR,The Apu Trilogy,Satyajit Ray,1965-1969,1,Tentatively assigned to F:4700ead8b47d (1959). Confirm.
PY-13825,BLANK_YEAR,Decalogue,,Krzysztof Kieslowski,1,Tentatively assigned to F:f6ad56cca563 (1988). Confirm.
NY-14377,YEAR_AMBIGUOUS,Gedächtnis,1981/82,"Bruno Ganz, Otto Sander",1,No valid-year cluster exists for this title. Unresolved.
NY-14602,BLANK_YEAR,All Lars von Trier‘s movies,,Lars von Trier,1,No valid-year cluster exists for this title. Unresolved.
NY-14730,BLANK_YEAR,Living on the River Agano,,Sato Makoto,1,No valid-year cluster exists for this title. Unresolved.
NY-14732,BLANK_YEAR,Avenge But One of My Two Eyes,,Avi Mograbi,1,No valid-year cluster exists for this title. Unresolved.
PY-15384,BLANK_YEAR,The Apu trilogy,,Satyajit Ray,1,Tentatively assigned to F:4700ead8b47d (1959). Confirm.
PY-16285,BLANK_YEAR,Notes for an African Oresteia,,Pier Paolo Pasolini,1,Tentatively assigned to F:91bbce13df74 (1969). Confirm.
NY-16533,YEAR_ERROR,Andhaa Kaanoon,T. Rama Rao,1983,1,No valid-year cluster exists for this title. Unresolved.
NY-17279,YEAR_AMBIGUOUS,Land Without Evil,n/d,Beatriz Palacios,1,No valid-year cluster exists for this title. Unresolved.
NY-17339,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
NY-17341,BLANK_YEAR,weak rangers,,lucia seles,1,No valid-year cluster exists for this title. Unresolved.
PY-17345,BLANK_YEAR,vivir en sevilla,,gonzalo garcia-pelayo,1,Tentatively assigned to F:021d58f95670 (1978). Confirm.
PY-17596,YEAR_AMBIGUOUS,Free Radicals,1958/1979,Len Lye,1,Tentatively assigned to F:9cf6e54aa851 (1958). Confirm.
NY-18509,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
NY-18753,BLANK_YEAR,Berlin Alexanderplatz,,,1,No valid-year cluster exists for this title. Unresolved.
AR-18830,YEAR_ERROR+AMBIGUOUS_YEAR_REMAKE,Eniaios,Ongoing,Gregory J. Markopoulos,1,Title matches 2 distinct films. Human must assign.
NY-18959,BLANK_YEAR,Ng Long Pat Kua Khuan,,Liu Chiang-liang,1,No valid-year cluster exists for this title. Unresolved.
AR-19375,YEAR_AMBIGUOUS+AMBIGUOUS_YEAR_REMAKE,Dekalog (decalogue),1988/1989,Krzysztof Kieślowski,1,Title matches 2 distinct films. Human must assign.
NY-19642,BLANK_YEAR,Boot Das (1981),,,1,No valid-year cluster exists for this title. Unresolved.
PY-19791,YEAR_AMBIGUOUS,The Ballad of Sexual Dependency,1981/5,Nan Goldin,1,Tentatively assigned to F:3e6184ad39d8 (1985). Confirm.
NY-20094,BLANK_YEAR,Quick Billy,,Bruce Baillie,1,No valid-year cluster exists for this title. Unresolved.
NY-20350,YEAR_ERROR,The Prison in 12 Landscapes,Brett Story,2016,1,No valid-year cluster exists for this title. Unresolved.
PM-weekend,POTENTIAL_MERGE,Week End | Weekend,"{'week end': ['1967'], 'weekend': ['2011']}",,8,"Titles differ by space/concat: ['week end', 'weekend']. Same film?"
PM-lebenbrd,POTENTIAL_MERGE,Leben - BRD | Leben BRD,"{'leben - brd': ['1990'], 'leben brd': ['1990']}",,2,"Titles differ by space/concat: ['leben - brd', 'leben brd']. Same film?"
