source,voter_name,position,book_title,book_author,year,source_url,voter_type,overall_rank,openLibraryId
Top Ten Books,Adam Haslett,1,King Lear,William Shakespeare,1605,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,2,Paradise Lost,John Milton,1667,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,3,War and Peace,Leo Tolstoy,1869,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,4,"Absalom, Absalom!",William Faulkner,1936,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,5,In Search of Lost Time,Marcel Proust,1913-27,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,6,Middlemarch,George Eliot,1871-72,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,7,Independent People,Halldór Laxness,1934,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,8,Moby-Dick,Herman Melville,1851,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,9,Long Day’s Journey into Night,Eugene O’Neill,1956,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adam Haslett,10,The Prelude,William Wordsworth,,https://www.toptenbooks.net/adam-haslett,,,
Top Ten Books,Adriana Trigiani,1,Casa Guidi Windows,Elizabeth Barrett Browning,1851,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,2,Jane Eyre,Charlotte Brontë,1847,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,3,The Giving Tree,Shel Silverstein,1964,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,4,Charlotte's Web,E. B. White,1952,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,5,Bertha,,1959,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,6,Blithe Spirit,Noël Coward,1941,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,7,Death of a Salesman,Arthur Miller,1949,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,8,Pride and Prejudice,Jane Austen,1813,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,9,Sullivan's Travels,Preston Sturges,1941,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,9,The Lady Eve,Preston Sturges,1941,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,9,The Palm Beach Story,Preston Sturges,1942,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Adriana Trigiani,10,When I Grow Too Old to Dream,Oscar Hammerstein,1935,https://www.toptenbooks.net/adriana-trigiani,,,
Top Ten Books,Alan Furst,1,Seven Pillars of Wisdom,T. E. Lawrence,1925,https://www.toptenbooks.net/alan-furst,,,
Top Ten Books,Alan Furst,2,A Dance to the Music of Time,Anthony Powell,1951-75,https://www.toptenbooks.net/alan-furst,,,
Top Ten Books,Alan Furst,3,Man’s Fate,André Malraux,1933,https://www.toptenbooks.net/alan-furst,,,
Top Ten Books,Alan Furst,4,Nightwood,Djuna Barnes,1936,https://www.toptenbooks.net/alan-furst,,,
Top Ten Books,Alan Furst,5,Black Lamb and Grey Falcon: A Journey Through Yugoslavia,Rebecca West,1941,https://www.toptenbooks.net/alan-furst,,,
Top Ten Books,Alan Furst,6,Darkness at Noon,Arthur Koestler,1940,https://www.toptenbooks.net/alan-furst,,,
Top Ten Books,Alan Furst,7,Stories of Isaac Babel,,1894-1940,https://www.toptenbooks.net/alan-furst,,,
